업체명,위도,경도,폐업여부
이데아호텔,35.11212426,129.0401031,N
대원모텔,35.11663874,129.0379092,N
테레목호스텔,35.11564069,129.0383326,N
테레목호스텔,35.11563939,129.0383357,N
동일장모텔,35.11546379,129.0378214,N
동일장모텔,35.11546159,129.0378315,N
미래장,35.11507712,129.038941,N
미래장,35.11508233,129.0389429,N
온팍스레지던스,35.11319226,129.0405547,N
탑모텔,35.11335134,129.0403744,N
라마다앙코르부산역호텔,35.11430257,129.0403367,N
원웨이게스트하우스 부산점,35.11413947,129.0401455,N
코인모텔,35.11345391,129.0404196,N
호텔코코,35.11399908,129.0403372,N
힐모텔,35.11335134,129.0403744,N
오렌지게스트하우스 부산역점,35.11367076,129.0405183,N
모찌호스텔,35.11319844,129.0405223,N
아몬드호텔,35.11377512,129.0406566,N
탑모텔,35.11325689,129.040336,N
토요코인 부산역1,35.11415906,129.0407606,N
부산뷰호텔,35.11337896,129.0405489,N
퀸모텔,35.1158758,129.0391947,N
까무스모텔,35.11564503,129.0390421,N
부영장여관,35.11673159,129.0399836,N
청우여인숙,35.11636681,129.039451,N
더웨이호텔,35.11626509,129.0393245,N
서울모텔,35.11678074,129.0398553,N
호텔26,35.11667806,129.039755,N
서울여관,35.11684456,129.0398495,N
아리아모텔,35.11647811,129.0387307,N
브라운도트호텔,35.11634076,129.0383925,N
3.6.9 모텔,35.11660109,129.0413912,N
369모텔,35.11659428,129.0413948,N
부산인모텔,35.11652083,129.0415268,N
아스티호텔,35.11617411,129.0417928,N
파밀리에게스트하우스,35.11639371,129.041285,N
광장관광호텔,35.11619244,129.0413443,N
코리아나모텔,35.11724523,129.0399424,N
대구여관,35.1173101,129.0398184,N
은하모텔,35.11741119,129.0398661,N
소호스텔,35.11710372,129.0416127,N
첵앤아웃게스트하우스,35.11755611,129.0416017,N
숨게스트하우스,35.11757902,129.0416361,N
코리안모텔,35.11753814,129.0401639,N
