Unnamed: 0,0,1,2,3,visit
79,맛사랑채,35.24538,129.2147,https://www.visitbusan.net/uploadImgs/files/cntnts/20220510170244967_ttiel,139
80,우정까망촌돼지,35.08081,128.97154,https://www.visitbusan.net/uploadImgs/files/cntnts/20220510173949671_ttiel,28
81,유메,35.105747,128.96916,https://www.visitbusan.net/uploadImgs/files/cntnts/20220510175614552_ttiel,195
82,금랑횟집 광안리 본점,35.155155,129.131,https://www.visitbusan.net/uploadImgs/files/cntnts/20220510180602206_ttiel,1740
83,난파센,35.14674,129.11339,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511104527053_ttiel,972
84,화국반점,35.10253,129.0342,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511105704117_ttiel,1209
85,로얄경양식&스테이크 광안점,35.153294,129.12462,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511111431528_ttiel,1205
86,이정태 본참치,35.1054,129.03531,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511111651566_ttiel,0
88,어가초밥,35.097214,129.02882,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511113442878_ttiel,191
89,배꼽시계,35.30255,129.24944,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511115114884_ttiel,28
90,배가왕,35.15554,129.13087,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511115634861_ttiel,1508
91,삼정횟집,35.10655,129.03775,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511115844167_ttiel,86
92,변소영 백년밥상,35.245594,129.2147,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511130041847_ttiel,197
93,사랑도 횟집,35.247726,129.21346,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511131104127_ttiel,332
94,삼송초밥,35.099655,129.02986,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511131839264_ttiel,1113
95,솔리보,35.26711,129.23145,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511132220417_ttiel,552
96,부산족발,35.099598,129.02664,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511132711170_ttiel,92
97,시티바캉스,35.15693,129.11592,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511133129967_ttiel,1494
98,PHOever Yum(포에버얌),35.282776,129.2583,https://www.visitbusan.net/uploadImgs/files/cntnts/20220511133523476_ttiel,1040
