업체명,위도,경도,url
목화모텔,35.25771326,129.0906073,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
새온천모텔찜질방,35.2240551,129.0815247,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
웁스모텔,35.2242952,129.0851221,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
올레모텔,35.22357183,129.0842698,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
로망스모텔,35.22272369,129.0861081,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
맥스모텔,35.22261418,129.0848461,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
모텔델루나,35.22440026,129.082447,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
아라모텔,35.22245892,129.0848261,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
유성장모텔,35.27569492,129.0890979,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
범어장모텔,35.27393827,129.0918193,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
에스모텔,35.2775317,129.0891817,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
니즈호텔,35.2744981,129.0899731,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
타샤모텔,35.23486816,129.2152805,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
본레브연화리330풀빌라앤호텔,35.21559526,129.2229761,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
MVG모텔,35.21392038,129.2220218,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
연화리관광호텔,35.21559526,129.2229761,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
호텔오즈,35.22075941,129.2271744,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
지앤지모텔,35.21419613,129.222202,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
꿈의궁전모텔,35.22228138,129.2270277,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
오즈모텔,35.2207852,129.2271806,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
팰리스모텔,35.23391641,129.2188739,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
더원모텔,35.22715554,129.2270725,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
TOC모텔,35.25135363,129.2082617,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
모텔헤이데이,35.24929092,129.2097105,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
베스트루이스해밀턴호텔 기장점,35.24951122,129.2096433,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
베스트루이스해밀턴호텔,35.24946788,129.2095269,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
초콜릿모텔,35.21643343,129.2251298,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
루이스호텔,35.24167138,129.2157481,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
기장루이스호텔,35.24173549,129.215798,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
부띠끄호텔 오월로,35.25010344,129.2136728,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
브룩스호텔,35.25067491,129.2135032,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
2PM호텔,35.25074703,129.2137006,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
큐모텔,35.25059418,129.2141236,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
짱모텔,35.25112852,129.2137112,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
힐모텔,35.25295621,129.2145426,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
캐슬모텔,35.26491276,129.2337386,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
쉼표모텔,35.26474117,129.2346141,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
늘봄모텔,35.26582452,129.233977,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
발리모텔,35.26206704,129.2315489,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
동부산온천호텔,35.34336416,129.2531894,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
호텔다온,35.3212147,129.1799899,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
큐브모텔,35.3212428,129.179862,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
파크모텔,35.32181376,129.1803163,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
k2모텔,35.31610069,129.1821329,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
